County,Public Water Supply,Population Served,Sampling Date,Sample Number,Raw Water or Treated Drinking Water?,PFOA + PFOS (ppt),Total Tested PFAS (ppt),Method
LENAWEE,Man Nor Farms Subdivision,193,08/23/2018,GWEF1808231000KER-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Munising,2783,08/16/2018,GWEF1808161535GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
SCHOOLCRAFT,Manistique,3874,08/20/2018,SWIN1808201110GSC,Raw Water,ND,ND,Isotope Dilution
ALGER,Chatham,300,08/16/2018,GWEF1808161400GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Mathias Township,175,08/16/2018,GWIN1808161140GSC-FD,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Chatham,300,08/16/2018,GWEF1808161345GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
SCHOOLCRAFT,Manistique,3874,08/20/2018,SWEF1808201100GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
DELTA,Gladstone,4396,08/21/2018,SWEF1808210800GSC,Treated Drinking Water,ND,2,Isotope Dilution
LENAWEE,Man Nor Farms Subdivision,193,08/23/2018,GWEF1808230950KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,553 Mobile Estates,50,08/16/2018,GWNT1808161115GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Mathias Township,175,08/16/2018,GWIN1808161130GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Northwest Ottawa Co Water Syst,40416,09/18/2018,GWIN1809181230KER,Raw Water,ND,ND,Isotope Dilution
SAGINAW,Parkwood Village,58,08/27/2018,GWEF1808271200KER,Raw Water,ND,2,EPA 537 Rev. 1.1
DELTA,Gladstone,4396,08/21/2018,SWEF1808210800GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Evergreen Mobile Home Community,272,09/27/2018,GWEF1809271430KER,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
CHARLEVOIX,Walloon Lake Water System,579,08/29/2018,GWEF1808291400GGA,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
IONIA,Evergreen Mobile Home Community,272,09/27/2018,GWEF1809271400KER,Treated Drinking Water,ND,18,EPA 537 Rev. 1.1
CHARLEVOIX,Walloon Lake Water System,579,08/29/2018,GWEF1808291500GGA,Treated Drinking Water,ND,19,EPA 537 Rev. 1.1
IRON,IronRiver Township-Ryden Road,290,08/23/2018,GWNT1808230940GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101500KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Hidden Hamlet Association,465,08/22/2018,GWEF1808220930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,"Petoskey, City of",10331,08/21/2018,GWEF1808211030GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101515KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101540KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,The Shores on Crooked Lake,57,08/21/2018,GWNT18082114000GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Saranac,1296,09/27/2018,GWNT1809271100KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Conway Commons Mobile Home Park,128,08/22/2018,GWNT1808220900GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Kalchik Estates,147,08/21/2018,GWNT1808211650GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101445KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Gaastra,376,08/23/2018,GWNT1808231140GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Birchwood Farms,1227,08/21/2018,GWNT1808211600GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWIN1809101430KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Morenci,2220,08/24/2018,GWEF1808240900KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,"Petoskey, City of",10331,08/21/2018,GWEF1808210930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
IRON,Iron River Township-Beechwood,440,08/23/2018,GWNT1808230915GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Birchwood Farms,1227,08/21/2018,GWEF1808211545GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
IRON,Iron River Township-Nash,340,08/23/2018,GWNT1808230900GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Foxfield Apartments,65,08/21/2018,GWNT1808211530GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Stambaugh Twp.-Hagerman Lake,230,08/23/2018,GWNT1808231400GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Inland House Condominium Association,90,08/21/2018,GWNT1808211200GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101545KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OSCEOLA,Eagle Village,84,09/10/2018,GWNT1809101530KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,"Petoskey, City of",10331,08/21/2018,GWEF1808211020GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,"Petoskey, City of",10331,08/21/2018,GWEF1808211000GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Forsyth Township,2479,08/15/2018,GWNT1808151300GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Forsyth Township,2479,08/15/2018,GWEF1808151330GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LUCE,Newberry Correctional Facility,1001,08/17/2018,GWIN1808171230GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Marquette County Corrections Center,95,08/15/2018,GWNT1808151015GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Onstead,907,08/22/2018,GWEF1808221500KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Shady Park,58,08/22/2018,GWEF1808221100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
JACKSON,Fisher Trailer Park,43,08/22/2018,GWNT1808221120KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Country Log Apartments,35,08/15/2018,GWNT1808151400GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Leffingwell Estates,210,08/27/2018,GWNT1808271000GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Hudson,2307,08/27/2018,GWEF1808271015GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Skandia-W Branch Water Dept,275,08/15/2018,GWNT1808151630GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
SCHOOLCRAFT,Seney Township,100,08/17/2018,GWNT1808171000GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Silver Creek Estates Mobile Home Park,260,08/15/2018,GWNT1808151130GSC,Raw Water,ND,2,EPA 537 Rev. 1.1
MARQUETTE,Cherry Creek Village,50,08/15/2018,GWNT1808150930GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Burt Township,676,08/17/2018,GWNT1808170900GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Arbor View Condo Owners Association,25,08/28/2018,GWNT1808281100CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Marquette County Corrections Center,95,08/15/2018,GWNT1808151000GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Forsyth Township,2479,08/15/2018,GWEF1808151340GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Little Traverse Bay Bands of Odawa (Mtigwaakiis),25,08/22/2018,GWNT1808221200GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Country Villa Estates,182,08/24/2018,GWNT1808241130KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Hillsdale,8163,08/27/2018,GWEF1808271130GSC,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
LUCE,Newberry Correctional Facility,1001,08/17/2018,GWIN1808171250GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ANTRIM,Lakewood Terrace Association,36,08/15/2018,GWEF1808151400GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LUCE,Newberry Correctional Facility,1001,08/17/2018,GWIN18081712345GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Addison,605,08/27/2018,GWEF1808271030GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALGER,Munising Industrial Park,465,08/16/2018,GWNT1808161530GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MARQUETTE,Pine Acres Mobile Home Park,50,08/15/2018,GWNT1808151645GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Madison Township,4197,08/24/2018,GWEF1808241045KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Onstead,907,08/22/2018,GWEF1808221530KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Tecumseh,8521,08/02/2018,GWEF1808021350GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Tecumseh,8521,08/02/2018,GWEF1808021340GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Tecumseh,8521,08/02/2018,GWEF1808021330GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Tecumseh,8521,08/02/2018,GWEF1808021410GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Hillside Acres,105,08/27/2018,GWEF1808271400GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Chesaning, Village of",2394,08/27/2018,GWEF1808271045KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Chesaning, Village of",2394,08/27/2018,GWNT1808271115KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Boynaire Landowners Association,54,08/23/2018,GWNT1808231300GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,Stoddard Mobile Home Court,313,08/27/2018,GWNT1808271000KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Chesaning, Village of",2394,08/27/2018,GWIN1808271100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Bear Creek Estates Condominium,210,08/23/2018,GWNT1808230900GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Grand Village Mobile Home Park,50,08/28/2018,GWNT1808281240CKA,Raw Water,ND,6,EPA 537 Rev. 1.1
SHIAWASSEE,"Durand, City of",3800,08/21/2018,GWEF1808211120KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Tallmadge Meadows,268,09/24/2018,GWNT1809241100KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
SHIAWASSEE,Alan's Park - Durand,50,08/21/2018,GWIN1808211150KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Chesaning, Village of",2394,08/27/2018,GWEF1808271030KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Bay Shore Estates,208,08/23/2018,GWNT1808231000GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Lakeside Club Condominiums,210,08/23/2018,GWEF1808231030GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
CHIPPEWA,Kinross Township,7341,09/12/2018,GWIN1809121440GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
CHIPPEWA,Kinross Township,7341,09/12/2018,GWNT1809121420GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
CHIPPEWA,Kinross Township,7341,09/12/2018,GWIN1809121400GGA,Raw Water,6,50,EPA 537 Rev. 1.1
EMMET,"Stonehedge Club Owners Association, Inc.",123,08/23/2018,GWNT1808231200GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Homestead Pines Homeowners' Association,84,08/23/2018,GWNT1808231130GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Cecil Farms,200,08/23/2018,GWNT1808230930GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Crystal Falls Township - LIND,2912,08/24/2018,GWNT1808240940GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Bates Township,921,08/24/2018,GWNT1808240830GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Lakecrest Mobile Court,52,08/28/2018,GWNT1808281330CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Crystal Falls Twp - Townline,700,08/24/2018,GWIN1808240950GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Avra Estates,87,08/28/2018,GWNT1808281500CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Alpha,198,08/24/2018,GWEF1808241020GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Crockery Mobile Home Park,413,09/20/2018,GWNT1809201330KER,Raw Water,ND,3,EPA 537 Rev. 1.1
HILLSDALE,Somerset Center,368,08/29/2018,GWNT1808291015CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Crockery Mobile Home Park,413,09/20/2018,GWNT1809201345KER,Raw Water,ND,13,EPA 537 Rev. 1.1
BRANCH,Avra Estates,87,08/28/2018,GWNT1808281530CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Crystal Falls Township - LIND,2912,08/24/2018,GWNT1808240910GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Crystal Falls Township - LIND,2912,08/24/2018,GWNT1808240900GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
IRON,Crystal Falls Twp - Townline,700,08/24/2018,GWNT1808241000GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Somerset Mobile Home Park,140,08/28/2018,GWNT1808281430CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Alanson Estates Mobile Home Park,50,08/23/2018,GWNT1808231100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Reading,1078,08/29/2018,GWIN1808291140CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
IRON,Bates Township,921,08/24/2018,GWNT1808240800GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
GRATIOT,"Breckenridge, Village of",1339,08/29/2018,GWEF1808291145KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Lakeside Estates Subdivision,125,08/28/2018,GWNT1808281400CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Belding,5877,09/28/2018,GWEF1809280945KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Hamlet West Property Owners Assoc,133,08/29/2018,GWNT1808291130GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Bean Creek Resort,180,08/28/2018,GWEF1808290915CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
MANISTEE,Little River Band of Ottawa Indians,8189,09/20/2018,GWEF1809200900GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Little Traverse Township,1102,08/22/2018,GWEF1808221030GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Country Living Adult Foster Care,56,08/28/2018,GWIN1808280940CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
SHIAWASSEE,"Byron, Village of",595,08/21/2018,GWEF1808210940KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Boyne Highlands Resort,450,08/29/2018,GWEF1808291000GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Little Traverse Township,1102,08/22/2018,GWNT1808221100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Belding,5877,09/28/2018,GWEF1809280910KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MONTCALM,Stanton,1417,08/13/2018,GWIN1808131210MK,Raw Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Belding,5877,09/28/2018,GWEF1809281000KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Litchfield,1310,08/28/2018,GWEF1808280810CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
IONIA,Belding,5877,09/28/2018,GWEF1809280930KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BRANCH,Quincy,2040,08/28/2018,GWEF1808281035CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GRAND TRAVERSE,Grand Traverse Band of Ottawa and Chippewa Indians - Peshawbestown,2135,09/20/2018,GWEF1809210900GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Camden,512,08/29/2018,GWIN1808291200CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Litchfield,1310,08/28/2018,GWIN1808280820CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GRAND TRAVERSE,Grand Traverse Band of Ottawa and Chippewa Indians - East Bay Water Work,5750,09/20/2018,GWEF1809201400GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Crooked River Apartments,32,08/28/2018,GWNT1808281300GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
EMMET,Hamlet Village Condominums Association,126,08/29/2018,GWNT1808291100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
GRATIOT,Nesen's Countryside Acres,95,08/29/2018,GWNT1808291100KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
HILLSDALE,Country Living Adult Foster Care,56,08/28/2018,GWIN1808280950CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,The Leelanau School,82,09/04/2018,GWNT1809041300KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
GRATIOT,Gratiot Area Water Authority,16208,08/29/2018,GWEF1808291030KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MENOMINEE,Powers-Spalding Twp Water Dept,905,08/22/2018,GWNT1808220900GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAKE,"Baldwin, Village of",1060,09/18/2018,GWNT1809190940KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
DICKINSON,Norway,3449,08/22/2018,GWEF1808221000GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MENOMINEE,Powers-Spalding Twp Water Dept,905,08/22/2018,GWEF1808220910GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
DELTA,Cedar Hill Assisted Living,45,08/22/2018,GWEF1808220800GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAKE,"Baldwin, Village of",1060,09/18/2018,GWNT1809191000KER-FD,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAKE,"Baldwin, Village of",1060,09/18/2018,GWNT1809190950KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,Cedar Creek Water Company,325,09/04/2018,GWEF1809041100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
GRAND TRAVERSE,Blair Township,2125,09/21/2018,GWEF1809211100GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Cricklewood Court,155,09/18/2018,GWNT1809180900KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAKE,"Baldwin, Village of",1060,09/18/2018,GWNT1809190920KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
GRAND TRAVERSE,Rolling Meadows Water Assn.,76,09/21/2018,GWNT1809211000GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
NEWAYGO,Hesperia,954,09/18/2018,GWNT1809191240KER,Raw Water,ND,15,EPA 537 Rev. 1.1
NEWAYGO,Hesperia,954,09/18/2018,GWNT1809191300KER,Raw Water,7,29,EPA 537 Rev. 1.1
LEELANAU,Elmwood Twp - Timberlee,510,09/04/2018,GWNT1809041020KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,Round Lake Estates,30,08/29/2018,GWNT1808290940CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
LAKE,"Baldwin, Village of",1060,09/18/2018,GWNT1809190910KER,Raw Water,4,10,EPA 537 Rev. 1.1
LEELANAU,Elmwood Twp - Timberlee,510,09/04/2018,GWNT1809041000KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,First Point Mobile Court,110,09/04/2018,GWNT1809041200KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
CHARLEVOIX,"Charlevoix, City of",3124,08/30/2018,SWEF1808301310GGA,Treated Drinking Water,4,6,Isotope Dilution
VAN BUREN,Port of Call - West,152,09/24/2018,GWEF1809240900GGA,Raw Water,7,18,EPA 537 Rev. 1.1
CHARLEVOIX,"Charlevoix, City of",3124,08/30/2018,SWIN1808301300GGA,Raw Water,2,4,Isotope Dilution
CHARLEVOIX,"Charlevoix, City of",3124,08/30/2018,SWEF1808301310GGA,Treated Drinking Water,3,3,EPA 537 Rev. 1.1
BRANCH,Countryside Mobile Court,60,10/01/2018,GWNT1810011500GGA,Raw Water,20,33,EPA 537 Rev. 1.1
IONIA,Long Lake Mobile Home Estates,68,09/28/2017,GWNT1809281110KER,Raw Water,6,15,EPA 537 Rev. 1.1
CHIPPEWA,Detour,325,09/11/2018,SWEF1809111020GGA,Treated Drinking Water,ND,ND,Isotope Dilution
IONIA,Long Lake Mobile Home Estates,68,09/28/2017,GWNT1809281120KER,Raw Water,6,15,EPA 537 Rev. 1.1
CHIPPEWA,Detour,325,09/11/2018,SWIN1809111000GGA,Raw Water,ND,ND,Isotope Dilution
CHIPPEWA,Detour,325,09/11/2018,SWEF1809111020GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MACKINAC,Mackinac Island,469,09/08/2018,SWEF1809081510GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OTTAWA,Tallmadge Meadows,268,09/24/2018,GWNT1809241040KER,Raw Water,15,40,EPA 537 Rev. 1.1
MACKINAC,St Ignace,2900,09/10/2018,SWEF1809100930GGA,Treated Drinking Water,ND,ND,Isotope Dilution
MACKINAC,St Ignace,2900,09/10/2018,SWEF1809100930GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MACKINAC,Mackinac Island,469,09/08/2018,SWIN1809081500GGA,Raw Water,ND,ND,Isotope Dilution
MACKINAC,Mackinac Island,469,09/08/2018,SWEF1809081510GGA,Treated Drinking Water,ND,ND,Isotope Dilution
MONROE,Monroe South County,33816,10/24/2018,GWNT1810241130MK,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
MACKINAC,St Ignace,2900,09/10/2018,SWIN1809100900GGA,Raw Water,ND,ND,Isotope Dilution
BERRIEN,New Buffalo Township,1834,10/23/2018,GWMP1810231015MK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MENOMINEE,Menominee,9999,08/21/2018,SWEF1808211200GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MENOMINEE,Menominee,9999,08/21/2018,SWIN1808211210GSC,Raw Water,ND,3,Isotope Dilution
SANILAC,"Lexington, Village of",6380,10/17/2018,SWEF1810171530GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Michiana,454,10/23/2018,GWEF1810230940MK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
MENOMINEE,Menominee,9999,08/21/2018,SWEF1808211200GSC,Treated Drinking Water,ND,3,Isotope Dilution
LEELANAU,"Empire, Village of",400,09/04/2018,GWNT1809041445KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,Freeland Mobile Home Park,280,08/28/2018,GWEF1808281120KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LENAWEE,South Shore Water System,488,08/23/2018,GWEF1808230810KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Sherwood Shores Condominiums,90,08/30/2018,GWNT1808300920KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,Leelanau Co Law Enforcement Center,75,09/05/2018,GWEF1809051040KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
DICKINSON,White Birch Mobile Home Village,250,08/22/2018,GWNT1808221440GSC,Raw Water,4,6,EPA 537 Rev. 1.1
ANTRIM,Sunset Torch Association,84,09/06/2018,GWNT1809061100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
MACKINAC,Mack. Co.  Housing-Engadine,50,09/10/2018,GWNT1809101100GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Merrill, Village of",695,08/28/2018,GWEF1808281510KER-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
SHIAWASSEE,"Bancroft, Village of",616,08/21/2018,GWEF1808211050KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
DICKINSON,Iron Mountain,9200,08/22/2018,GWIN1808221330GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
MACKINAC,Mack. Co.  Housing-Curtis,50,09/10/2018,GWNT1809101200GGA,Raw Water,ND,ND,EPA 537 Rev. 1.1
SAGINAW,"Merrill, Village of",695,08/28/2018,GWEF1808281500KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ANTRIM,"Elk Rapids, Village of",1642,09/06/2018,GWEF1809061310GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BERRIEN,Eau Claire,610,08/30/2018,GWEF1808301145KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,"Empire, Village of",400,09/04/2018,GWNT180904152KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MECOSTA,Haven View Mobile Court,200,09/14/2018,GWNT1809140930KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,"Suttons, Bay, Village of",970,09/05/2018,GWNT1809050920KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MECOSTA,Country Manor,190,09/14/2018,GWNT1809140950KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,"Empire, Village of",400,09/04/2018,GWNT1809041500KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
DICKINSON,White Birch Mobile Home Village,250,08/22/2018,GWNT1808221450GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
LEELANAU,"Suttons, Bay, Village of",970,09/05/2018,GWNT1809050940KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
MECOSTA,Remus Apartment Company,100,09/17/2018,GWEF1809170940KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ANTRIM,"Elk Rapids, Village of",1642,09/06/2018,GWEF1809061320GGA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
DICKINSON,Iron Mountain,9200,08/22/2018,GWIN1808221340GSC,Raw Water,ND,2,EPA 537 Rev. 1.1
LEELANAU,Homestead/Crystal River Water Co,1365,09/04/2018,GWIN1809041330KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
